top - 16:38:10 up  2:35,  1 user,  load average: 0,09, 0,06, 0,01
Tasks: 234 total,   1 running, 190 sleeping,   2 stopped,   0 zombie
%Cpu(s):  0,7 us,  0,2 sy,  0,0 ni, 98,7 id,  0,3 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem :  8165652 total,  5680604 free,  1280660 used,  1204388 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used.  6581552 avail Mem 
  358 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop11
  359 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop12
  360 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop13
  362 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop14
  363 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop15
  471 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 iprt-VBox+
  489 systemd+  20   0  146108   3420   2852 S   0,0  0,0   0:00.05 systemd-t+
  490 systemd+  20   0   70756   6216   5468 S   0,0  0,1   0:00.20 systemd-r+
  532 root     -51   0       0      0      0 S   0,0  0,0   0:00.38 irq/18-vm+
  533 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 ttm_swap
  597 avahi     20   0   47252   3328   2984 S   0,0  0,0   0:00.05 avahi-dae+
  599 root      20   0    4548    780    720 S   0,0  0,0   0:00.46 acpid
  600 root      20   0   38424   3412   3124 S   0,0  0,0   0:00.29 cron
  601 message+  20   0   51556   6040   4048 S   0,0  0,1   0:00.70 dbus-daem+
  607 avahi     20   0   47072    344      0 S   0,0  0,0   0:00.00 avahi-dae+
  645 root      20   0   45224   5224   4676 S   0,0  0,1   0:00.06 wpa_suppl+
  650 root      20   0  177636  17636   9724 S   0,0  0,2   0:00.14 networkd-+
  652 root      20   0   70712   6128   5308 S   0,0  0,1   0:00.26 systemd-l+
  654 root      20   0  517932  12708  10312 S   0,0  0,2   0:00.08 udisksd
  655 root      20   0 1228792  30764  13712 S   0,0  0,4   0:02.61 snapd
  656 root      20   0  110408   2044   1820 S   0,0  0,0   0:00.42 irqbalance
  658 syslog    20   0  263032   4392   3624 S   0,0  0,1   0:00.09 rsyslogd
  659 root      20   0  308552   8912   7844 S   0,0  0,1   0:00.28 accounts-+
  661 root      20   0  360588   9344   7940 S   0,0  0,1   0:00.10 ModemMana+
  662 root      20   0  580308  18688  15672 S   0,0  0,2   0:00.45 NetworkMa+
  719 root      20   0  311240  11316   8224 S   0,0  0,1   0:00.48 polkitd
  769 root      20   0  194344  20480  12572 S   0,0  0,3   0:00.12 unattende+
  775 root      20   0  308184   8332   7144 S   0,0  0,1   0:00.06 gdm3
  786 root      20   0  261556   8600   7496 S   0,0  0,1   0:00.03 gdm-sessi+
  794 root      20   0   25988   6416   5156 S   0,0  0,1   0:00.00 dhclient
  825 whoopsie  20   0  392864  12956  11260 S   0,0  0,2   0:00.03 whoopsie
  840 kernoops  20   0   56936    420      0 S   0,0  0,0   0:00.20 kerneloops
  847 kernoops  20   0   56936    420      0 S   0,0  0,0   0:00.21 kerneloops
  926 gdm       20   0   76908   8212   6844 S   0,0  0,1   0:00.05 systemd
  928 gdm       20   0  113936   2500      4 S   0,0  0,0   0:00.00 (sd-pam)
  973 gdm       20   0  197796   5764   5248 S   0,0  0,1   0:00.00 gdm-wayla+
  975 gdm       20   0   50328   4588   3816 S   0,0  0,1   0:00.08 dbus-daem+
  977 gdm       20   0  640708  15560  13092 S   0,0  0,2   0:00.11 gnome-ses+
  983 gdm       20   0 3671528 200992  90548 S   0,0  2,5   0:19.84 gnome-she+
 1176 root      20   0  322296   8856   7724 S   0,0  0,1   0:00.02 upowerd
 1260 root      20   0  457196  37868  13424 S   0,0  0,5   0:05.73 packageki+
 1269 gdm       20   0  426920  36880  27172 S   0,0  0,5   0:00.12 Xwayland
 1276 gdm       20   0  365556   8468   7688 S   0,0  0,1   0:00.02 at-spi-bu+
 1284 gdm       20   0   49924   3776   3412 S   0,0  0,0   0:00.00 dbus-daem+
 1286 gdm       20   0  220760   7172   6412 S   0,0  0,1   0:00.01 at-spi2-r+
 1292 gdm       20   0 1153432  11736   8628 S   0,0  0,1   0:00.19 pulseaudio
 1295 rtkit     21   1  183500   3092   2820 S   0,0  0,0   0:00.17 rtkit-dae+
 1340 gdm       20   0  375276   9740   8352 S   0,0  0,1   0:00.08 ibus-daem+
 1343 gdm       20   0  294488   8216   7516 S   0,0  0,1   0:00.00 ibus-dconf
 1346 gdm       20   0  698052  48104  37248 S   0,0  0,6   0:00.09 ibus-x11
 1350 gdm       20   0  292432   8168   7464 S   0,0  0,1   0:00.00 ibus-port+
 1356 gdm       20   0  271560   5296   4864 S   0,0  0,1   0:00.00 xdg-permi+
 1389 root      20   0  315244   9168   8156 S   0,0  0,1   0:00.02 boltd
 1390 gdm       20   0  502584  23580  18340 S   0,0  0,3   0:00.09 gsd-xsett+
 1399 gdm       20   0  294448   8404   7544 S   0,0  0,1   0:00.01 gsd-a11y-+
 1401 gdm       20   0  353796  21932  17160 S   0,0  0,3   0:00.07 gsd-clipb+
 1406 gdm       20   0  666872  23956  18572 S   0,0  0,3   0:01.04 gsd-color
 1407 gdm       20   0  393708  13764  11912 S   0,0  0,2   0:00.01 gsd-datet+
 1410 gdm       20   0  283740   5372   4964 S   0,0  0,1   0:00.00 gsd-house+
 1411 gdm       20   0  514560  23412  18468 S   0,0  0,3   0:00.09 gsd-keybo+
 1415 gdm       20   0 1087744  24932  19516 S   0,0  0,3   0:00.08 gsd-media+
 1421 gdm       20   0  201996   4732   4376 S   0,0  0,1   0:00.00 gsd-mouse
 1422 gdm       20   0  525316  23808  18660 S   0,0  0,3   0:00.11 gsd-power
 1428 gdm       20   0  267008   8696   7628 S   0,0  0,1   0:00.00 gsd-print+
 1429 gdm       20   0  202016   4664   4296 S   0,0  0,1   0:00.00 gsd-rfkill
 1437 gdm       20   0  275732   5424   4976 S   0,0  0,1   0:00.00 gsd-scree+
 1440 gdm       20   0  321396  10700   9676 S   0,0  0,1   0:00.00 gsd-shari+
 1444 gdm       20   0  390520  10148   9136 S   0,0  0,1   0:00.00 gsd-smart+
 1445 gdm       20   0  340896  10068   8864 S   0,0  0,1   0:00.01 gsd-sound
 1451 gdm       20   0  438832  22860  17760 S   0,0  0,3   0:00.09 gsd-wacom
 1459 colord    20   0  339620  15776  10804 S   0,0  0,2   0:00.12 colord
 1482 gdm       20   0  218764   8028   7340 S   0,0  0,1   0:00.01 ibus-engi+
 1654 root      20   0  107688   8376   7116 S   0,0  0,1   0:00.03 cupsd
 1655 root      20   0  303652  10944   9508 S   0,0  0,1   0:00.04 cups-brow+
 1657 lp        20   0   86408   6092   5276 S   0,0  0,1   0:00.00 dbus
 1658 lp        20   0   86408   5928   5112 S   0,0  0,1   0:00.00 dbus
 1736 root      20   0  415344   9408   7840 S   0,0  0,1   0:00.06 gdm-sessi+
 1739 vbub      20   0   78568   9684   6892 S   0,0  0,1   0:00.18 systemd
 1740 vbub      20   0  261400   2548      4 S   0,0  0,0   0:00.00 (sd-pam)
 1753 vbub      20   0  288364   7760   6796 S   0,0  0,1   0:00.09 gnome-key+
 1757 vbub      20   0  212128   6116   5500 S   0,0  0,1   0:00.01 gdm-x-ses+
 1759 vbub      20   0  584408  76948  46012 S   0,0  0,9   0:31.06 Xorg
 1766 vbub      20   0   52792   7364   3940 S   0,0  0,1   0:00.40 dbus-daem+
 1769 vbub      20   0  643136  16032  13264 S   0,0  0,2   0:00.28 gnome-ses+
 1864 vbub      20   0   11300    320      0 S   0,0  0,0   0:00.03 ssh-agent
 1867 vbub      20   0  291956   7220   6276 S   0,0  0,1   0:00.04 gvfsd
 1872 vbub      20   0  432020   7872   6992 S   0,0  0,1   0:00.02 gvfsd-fuse
 1884 vbub      20   0  367832   8796   7916 S   0,0  0,1   0:00.00 at-spi-bu+
 1889 vbub      20   0   49924   4152   3648 S   0,0  0,1   0:00.04 dbus-daem+
 1892 vbub      20   0  220776   6952   6256 S   0,0  0,1   0:00.39 at-spi2-r+
 1913 vbub      20   0 3663912 259452 102256 S   0,0  3,2   1:37.98 gnome-she+
 1925 vbub       9 -11 1434392  12076   8876 S   0,0  0,1   0:02.07 pulseaudio
 1937 vbub      20   0  271560   5176   4748 S   0,0  0,1   0:00.00 xdg-permi+
 1944 vbub      20   0  296784   8116   7424 S   0,0  0,1   0:00.00 ibus-dconf
 1946 vbub      20   0  356288  22780  18016 S   0,0  0,3   0:00.11 ibus-x11
 1948 vbub      20   0  294596   8220   7520 S   0,0  0,1   0:00.04 ibus-port+
 1960 vbub      20   0  696776  22308  18840 S   0,0  0,3   0:00.05 gnome-she+
 1971 vbub      20   0 1374344  27232  22904 S   0,0  0,3   0:00.17 evolution+
 1972 vbub      20   0  320180  10992   9332 S   0,0  0,1   0:00.04 gvfs-udis+
 1979 vbub      20   0  274044   6224   5668 S   0,0  0,1   0:00.02 gvfs-goa-+
 1983 vbub      20   0  778380  32160  26732 S   0,0  0,4   0:00.16 goa-daemon
 1993 vbub      20   0  393172  10032   8924 S   0,0  0,1   0:00.03 goa-ident+
 1998 vbub      20   0  378812   7656   6776 S   0,0  0,1   0:00.01 gvfs-afc-+
 2004 vbub      20   0  275872   6084   5428 S   0,0  0,1   0:00.01 gvfs-mtp-+
 2008 vbub      20   0  288660   6900   6136 S   0,0  0,1   0:00.01 gvfs-gpho+
 2013 vbub      20   0  527364  23940  18680 S   0,0  0,3   0:00.16 gsd-power
 2016 vbub      20   0  349320  10472   9128 S   0,0  0,1   0:00.01 gsd-print+
 2019 vbub      20   0  423344   6048   5404 S   0,0  0,1   0:00.01 gsd-rfkill
 2022 vbub      20   0  275732   5964   5388 S   0,0  0,1   0:00.00 gsd-scree+
 2025 vbub      20   0  471284  11596  10156 S   0,0  0,1   0:00.02 gsd-shari+
 2029 vbub      20   0  392684  10036   9004 S   0,0  0,1   0:00.01 gsd-smart+
 2033 vbub      20   0  343060   9972   8764 S   0,0  0,1   0:00.01 gsd-sound
 2043 vbub      20   0  504652  23724  18424 S   0,0  0,3   0:00.17 gsd-xsett+
 2044 vbub      20   0  440724  22880  17864 S   0,0  0,3   0:00.13 gsd-wacom
 2048 vbub      20   0  296612   8604   7740 S   0,0  0,1   0:00.00 gsd-a11y-+
 2051 vbub      20   0  355876  21924  17168 S   0,0  0,3   0:00.12 gsd-clipb+
 2052 vbub      20   0  668912  23488  18396 S   0,0  0,3   0:00.90 gsd-color
